User_Need,REQ_ID,Requirement_Description,Design_Ref,TEST_ID,RISK_ID,Label_Ref,PMS_Ref,Verification_Status
UN-001,REQ-HD-001,Critical Anemia Detection (Sensitivity ≥90% | P95 <2s | P99 <5s),SDD-001 §3.4 Rules Engine | §3.5 HemoAI | §3.7 Alert Orchestrator,TEST-HD-011 | TEST-HD-012,RISK-HD-001,IFU-001 §Performance | §Warnings,PMS-001 §SLAs | §Real-world Sensitivity,PASS
UN-002,REQ-HD-002,CBC Data Ingestion and Validation (Unit conversion + LOINC mapping + Age/Sex/Pregnancy validation),SDD-001 §3.2 Ingestion Service | §3.3 Validation Service,TEST-HD-013 | TEST-HD-014,RISK-HD-003 | RISK-HD-004 | RISK-HD-101 | RISK-HD-INT-002,IFU-001 §Data Entry,PMS-001 §Error Logs,PASS
UN-003,REQ-HD-003,Clinical Rationale Transparency (Display rules + evidence sources + SHAP + override capability),SDD-001 §3.4 Rules Engine | §3.5 HemoAI | §3.8 UI Service,TEST-HD-015 | TEST-HD-016 | TEST-HD-017,RISK-HD-008 | RISK-HD-USE-001 | RISK-HD-USE-003 | RISK-HD-INT-003 | RISK-HD-ML-003,IFU-001 §Instructions | §Training,PMS-001 §Override Rates,PASS
UN-004,REQ-HD-004,Audit Trail and Logging (WORM logs + LGPD compliance + Cryptographic signatures),SDD-001 §3.9 Audit Service | §4.1 Data Model,TEST-HD-018,RISK-HD-103 | RISK-HD-INT-004,IFU-001 §Privacy | §Audit Trail,PMS-001 §Audits | §Compliance,PASS
UN-005,REQ-HD-005,LIS/HIS Integration API (REST + OIDC/OAuth2 + Rate limiting 100 req/min),SDD-001 §3.1 API Gateway | §3.2 Ingestion Service,TEST-HD-019,RISK-HD-104 | RISK-HD-INT-001,IFU-001 §Integration,PMS-001 §API Metrics,PASS
UN-006,REQ-HD-006,Alert System Configuration (Per-institution thresholds + Prioritization + Throttling + Dual approval),SDD-001 §3.7 Alert Orchestrator,TEST-HD-020,RISK-HD-002 | RISK-HD-005 | RISK-HD-008 | RISK-HD-USE-002,IFU-001 §Configuration | §Warnings,PMS-001 §Alert Metrics,PENDING
UN-007,REQ-HD-007,ML Model Versioning and Rollback (Git SHA tracking + A/B testing + Drift detection + <15min rollback),SDD-001 §3.6 Model Manager | §7 PCCP,TEST-HD-021,RISK-HD-ML-001 | RISK-HD-106 | RISK-HD-204,IFU-001 §Model Management | §Version Info,PMS-001 §Model Performance | §Drift Monitoring,PENDING
UN-008,REQ-HD-008,Role-Based Access Control - RBAC (4 roles: Admin/Lab/Physician/Auditor + MFA + Session timeout),SDD-001 §6.2 Access Control | §6 Security,TEST-HD-015 | TEST-HD-022,RISK-HD-CYB-001 | RISK-HD-CYB-005 | RISK-HD-201 | RISK-HD-205,IFU-001 §Security | §User Roles,PMS-001 §Security Incidents,PENDING
UN-004,REQ-HD-009,Data Retention and Archival (5-year retention + LGPD Art. 18 data subject rights + Automated archival),SDD-001 §3.9 Audit Service | §9 Data Management,TEST-HD-023,RISK-HD-103,IFU-001 §Data Management | §Privacy,PMS-001 §Compliance,PENDING
UN-003,REQ-HD-010,Clinical Rules Specification and Maintenance (YAML/JSON + Git versioning + Annual clinical review),SDD-001 §3.4 Rules Engine,TEST-HD-024,RISK-HD-004,IFU-001 §Clinical Rules,PMS-001 §Clinical Performance,PENDING
UN-005,REQ-HD-011,Multi-Language Support (pt-BR | en-US | es-ES + i18n framework + Clinical SME translation review),SDD-001 §3.8 UI Service (i18n),TEST-HD-025,N/A,IFU-001 §Multi-language,PMS-001 §International Deployment,PENDING
UN-002,REQ-HD-012,Performance Monitoring and Degradation Alerts (P95/P99 tracking + Anomaly detection + Runbooks),SDD-001 §8 Performance Design | §10 Observability,TEST-HD-026,RISK-HD-PERF-001 | RISK-HD-005,IFU-001 §System Requirements,PMS-001 §SLAs | §Ops KPIs,PENDING
UN-005,REQ-HD-013,Integration with External Terminology Servers (SNOMED CT | LOINC | ICD-10 + Fallback embedded DB),SDD-001 §3.3 Validation Service | §5.3 LOINC Mapping,TEST-HD-027,RISK-HD-003,IFU-001 §Interoperability,PMS-001 §Integration,PENDING
UN-002,REQ-HD-014,Batch Processing Mode (CSV/Parquet + 10K cases/hour + De-identification + Resource isolation),SDD-001 §3.2 Ingestion Service (batch mode + async queue),TEST-HD-028,N/A,IFU-001 §Batch Processing,PMS-001 §Research Use,PENDING
UN-005,REQ-HD-015,Export to HL7 FHIR R4 Format (DiagnosticReport | Observation | RiskAssessment | Provenance + US Core IG),SDD-001 §3.1 API Gateway (FHIR endpoints) | §8.4 Performance (async FHIR),TEST-HD-029,RISK-HD-INT-001,IFU-001 §FHIR Export,PMS-001 §Interoperability,PENDING
